1.36897326;	2.92156863
1.37811553;	3.17647052
1.37811553;	4.60784292
1.37811553;	3.37254906
1.38703668;	2.15686274
1.38703668;	3.37254906
1.38703668;	4.78431368
1.39585948;	2.27450991
1.39585948;	3.66666675
1.39585948;	4.33333349
1.40490341;	2.52941179
1.40490341;	1.78431368
1.40490341;	4.54901981
1.41388190;	3.50980401
1.41388190;	2.21568632
1.41388190;	3.84313726
1.42303228;	3.45098042
1.42303228;	1.92156863
1.42303228;	1.90196073
1.43190420;	4.98039198
1.43190420;	2.49019599
1.43190420;	2.49019599
1.44095647;	3.94117641
1.44095647;	2.43137264
1.44095647;	0.74509805
1.45003319;	1.60784316
1.45003319;	3.07843137
1.45003319;	0.37254903
1.45877397;	1.62745094
1.45877397;	2.43137264
1.45877397;	0.76470590
1.46829307;	0.00000000
1.46829307;	2.94117641
1.46829307;	2.17647052
1.47685373;	0.78431374
1.47685373;	2.74509811
1.47685373;	2.76470590
1.48591411;	1.11764705
1.48591411;	1.07843137
1.48591411;	4.66666651
1.49504006;	2.03921580
1.49504006;	2.11764717
1.49504006;	3.74509811
1.50414133;	2.47058821
1.50414133;	1.01960790
1.50414133;	2.15686274
1.51337373;	3.90196085
1.51337373;	1.35294116
1.51337373;	2.56862736
1.52200806;	3.05882359
1.52200806;	1.11764705
1.52200806;	0.17647059
1.53122401;	2.74509811
1.53122401;	1.74509799
1.53122401;	0.07843138
1.54033351;	2.00000000
1.54033351;	1.90196073
1.54033351;	0.37254903
1.54936934;	0.00000000
1.54936934;	3.39215684
1.54936934;	1.09803927
1.55842972;	1.07843137
1.55842972;	2.60784316
1.55842972;	1.50980389
1.56730986;	0.25490198
1.56730986;	1.35294116
1.56730986;	3.25490189
1.57596874;	0.90196079
1.57596874;	2.35294127
1.57596874;	3.27450991
1.58497179;	1.64705884
1.58497179;	0.86274511
1.58497179;	3.76470590
1.59404027;	2.84313726
1.59404027;	1.29411769
1.59404027;	3.23529410
1.60287952;	3.09803915
1.60287952;	1.45098042
1.60287952;	1.13725495
1.61197257;	4.54901981
1.61197257;	1.98039210
1.61197257;	1.86274505
1.62092650;	3.58823538
1.62092650;	2.60784316
1.62092650;	0.86274511
1.63001955;	1.66666663
1.63001955;	4.56862736
1.63001955;	1.62745094
1.63884234;	2.35294127
1.63884234;	3.80392146
1.63884234;	1.80392158
1.64788640;	1.29411769
1.64788640;	3.84313726
1.64788640;	2.58823538
1.65730715;	1.17647064
1.65730715;	3.00000000
1.65730715;	2.66666675
1.66587591;	2.11764717
1.66587591;	0.47058824
1.66587591;	4.43137264
1.67497730;	2.23529410
1.67497730;	1.76470590
1.67497730;	2.92156863
1.68402946;	1.62745094
1.68402946;	0.49019608
1.68402946;	1.09803927
1.69305706;	3.66666675
1.69305706;	1.17647064
1.69305706;	2.35294127
1.70248604;	3.64705873
1.70248604;	2.09803915
1.70248604;	1.35294116
1.71094835;	4.64705896
1.71094835;	3.70588231
1.71094835;	2.25490189
1.71999228;	3.86274505
1.71999228;	3.09803915
1.71999228;	0.60784316
1.72903633;	0.43137255
1.72903633;	3.05882359
1.72903633;	0.64705884
1.73857176;	0.00000000
1.73857176;	2.01960778
1.73857176;	0.96078432
1.74729621;	0.00000000
1.74729621;	0.00000000
1.74729621;	2.33333325
1.75611091;	0.00000000
1.75611091;	1.01960790
1.75611091;	2.39215684
1.76537597;	0.68627453
1.76537597;	0.09803922
1.76537597;	3.13725495
1.77432990;	2.94117641
1.77432990;	1.17647064
1.77432990;	3.17647052
1.78330004;	3.82352948
1.78330004;	1.80392158
1.78330004;	1.62745094
1.79200006;	4.98039198
1.79200006;	3.23529410
1.79200006;	2.78431368
1.80088007;	4.92156839
1.80088007;	3.88235283
1.80088007;	2.39215684
1.80992413;	3.29411769
1.80992413;	4.98039198
1.80992413;	3.58823538
1.81935310;	4.76470566
1.81935310;	4.98039198
1.81935310;	3.90196085
1.82805300;	3.29411769
1.82805300;	4.98039198
1.82805300;	4.98039198
1.83730173;	2.98039222
1.83730173;	4.92156839
1.83730173;	4.82352924
1.84633756;	1.86274505
1.84633756;	1.60784316
1.84633756;	4.98039198
1.85501289;	2.31372547
1.85501289;	2.03921580
1.85501289;	4.31372547
1.86403227;	3.39215684
1.86403227;	1.74509799
1.86403227;	2.50980401
1.87292063;	4.98039198
1.87292063;	2.39215684
1.87292063;	3.52941179
1.88194811;	4.82352924
1.88194811;	2.90196085
1.88194811;	2.25490189
1.89100027;	4.62745094
1.89100027;	4.52941179
1.89100027;	2.23529410
1.90000331;	4.03921556
1.90000331;	4.33333349
1.90000331;	1.94117641
1.90885890;	1.54901958
